"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"Itaar 43"" Lift Top Coffee Table, 3 in 1 Multi-Function Coffee Table with Storage for Living Room, Small Coffee Table for Dining Reception Room, Grey","B0BHKP7M91","https://www.amazon.com/dp/B0BHKP7M91?psc=1","https://m.media-amazon.com/images/I/817cUwUsXxL._AC_SY450_.jpg","Itaar",269.99,518,"139,854.82","60,097","CN",93.43,1,4.6,349,7,30,"better market","Home & Kitchen","Medium Oversize","MFN","23.0x47.0x7.0",90.00,"10/7/2022"
"SinCiDo 48” Lift Top Coffee Table, Coffee Table with Storage & Sliding Groove Barn Door, Farmhouse Coffee Table Rustic Wood Cocktail Table w/Double Storage Spaces for Living Room, White","B0C49YJ8KC","https://www.amazon.com/dp/B0C49YJ8KC?psc=1","https://m.media-amazon.com/images/I/81VFUwqka5L._AC_SX466_.jpg","SinCiDo",219.99,"n/a","n/a","34,441","US","n/a",1,5.0,2,6,0,"Shengye Development","Home & Kitchen","n/a","MFN","n/a","n/a","5/4/2023"
"Bidiso Lift Top Coffee Table, Easy-to-Assembly Center Table with Hidden Storage Compartment, Lift Tabletop Dining Table for Living Room Reception/Home Office, Oak","B097XLT76Q","https://www.amazon.com/dp/B097XLT76Q?psc=1","https://m.media-amazon.com/images/I/81WgLbIGdBL._AC_SX425_.jpg","Bidiso",199.99,581,"116,194.19","77,437","CN",63.67,3,4.6,643,8,44,"Sea Wave Furniture","Home & Kitchen","Small Oversize","FBA","24.0x8.0x42.0",58.01,"6/25/2021"
"Auromie Nesting Coffee Table Set of 2, Hexagonal Side End Tables with Metal Frame, Modern Center Tables with Faux Marble Top for Living Room, Office, Balcony, Small Nightstands for Bedroom, White&Gold","B0C2CLDB5D","https://www.amazon.com/dp/B0C2CLDB5D?psc=1","https://m.media-amazon.com/images/I/81lCy7nzVBL._AC_SX679_.jpg","Auromie",79.99,111,"8,878.89","204,468","CN",29.71,1,5.0,8,8,4,"Auromie Distributor","Home & Kitchen","Small Oversize","MFN","21.9x25.6x4.9",18.78,"4/13/2023"
"($) SICOTAS Farmhouse Wood Coffee Table - Boho Table with Storage Shelf, Rectangle Center Table Wood Look Accent Table, 2-Tier Sofa Side Table Mid Century Modern Coffee Table Living Room Furniture","B0B9B8YSS3","https://www.amazon.com/dp/B0B9B8YSS3?psc=1","https://m.media-amazon.com/images/I/91jRs+d6CKL._AC_SX522_.jpg","SICOTAS",92.99,100,"9,299.00","330,371","CN",35.86,1,4.1,18,7,1,"SICOTAS","Home & Kitchen","Small Oversize","MFN","22.0x4.0x43.0",29.60,"8/11/2022"
"($) Bush Furniture Key West Coffee Table with Storage, Dark Gray Hickory","B08VWVLNL9","https://www.amazon.com/dp/B08VWVLNL9?psc=1","https://m.media-amazon.com/images/I/81FjRbRDHTL._AC_SY450_.jpg","Bush Furniture",239.99,0,0.00,"2,450,290","AMZ",87.91,11,4.0,10,6,0,"Amazon","Home & Kitchen","Medium Oversize","AMZ","27.8x6.3x47.0",84.01,"2/4/2021"
"($) HOMREST 39.4 Inch Wooden Lift Top Coffee Table with Storage Shelf and Hidden Compartment, Rising Computer Table Coffee Tabletop for Reception Room and Living Room, Grey","B0BSNFQF9M","https://www.amazon.com/dp/B0BSNFQF9M?psc=1","https://m.media-amazon.com/images/I/919arBUCcLL._AC_SY355_.jpg","HOMREST",84.99,56,"4,759.44","683,058","CN","n/a",1,5.0,5,8,0,"HOMREST","Home & Kitchen","n/a","MFN","n/a","n/a","1/19/2023"
"($) UMBUZÖ Reclaimed Wood Coffee Table","B07XHTQKN3","https://www.amazon.com/dp/B07XHTQKN3?psc=1","https://m.media-amazon.com/images/I/91+LeyuhNIL._SY500_.jpg","UMBUZÖ",429.00,1,429.00,"7,871","US","n/a",1,4.5,2,2,0,"UMBUZÖ","Handmade Products","n/a","MFN","n/a","n/a","10/20/2017"
"Yaheetech Coffee Table, Tempered Glass Coffee Table, Modern Simple Center Table w/Geometric-Inspired Design & Metal-Frame & Easy Assembly & Open Storage Shelf for Living Room, Office, Black","B097G9J3PR","https://www.amazon.com/dp/B097G9J3PR?psc=1","https://m.media-amazon.com/images/I/61cHNsqAsZL._AC_SX466_.jpg","Yaheetech",92.99,421,"39,148.79","69,577","US","n/a",1,4.7,235,9,5,"Yaheetech","Home & Kitchen","n/a","MFN","n/a","n/a","6/18/2021"
"ChooChoo Oxford Coffee Table with Thicker Legs, Black Wood Coffee Table with Storage for Living Room","B07T238M73","https://www.amazon.com/dp/B07T238M73?psc=1","https://m.media-amazon.com/images/I/71rIs5b2PfS._AC_SX466_.jpg","ChooChoo",109.99,537,"59,064.63","54,432","CN",43.45,7,4.4,"1,094",7,30,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","24.0x5.0x43.5",42.51,"6/12/2019"
