"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"Irontar Vanity Table, Makeup Table with Lighted Mirror, 3 Color Lighting Modes, Brightness Adjustable, Dressing Table with Metal Sliding Drawers, Bedroom Vanity Desk for Women, Girls, White WDT004W","B0BMNWFZSP","https://www.amazon.com/dp/B0BMNWFZSP?psc=1","https://m.media-amazon.com/images/I/71NeaG6RehL._AC_SY450_.jpg","Irontar",239.99,93,"22,319.07","91,659","CN","n/a",1,4.6,3,8,0,"Irontar Direct","Home & Kitchen","n/a","MFN","n/a","n/a","11/17/2022"
"ARIEL Bristol 43"" Inch White Bathroom Vanity | Center Rectangle Sink | 1.5"" Inch Edge Pure White Quartz Countertop | 2 Soft-Closing Doors & 3 Dovetail Full Extension Drawers | Polished Chrome Hardware","B09TCJ8VJF","https://www.amazon.com/dp/B09TCJ8VJF?psc=1","https://m.media-amazon.com/images/I/413EpWGDbdL._AC_SY450_.jpg","ARIEL","1,039.00","n/a","n/a","440,885","n/a","n/a",1,"n/a",0,"n/a",0,"n/a","Tools & Home Improvement","n/a","n/a","n/a","n/a","2/24/2022"
"Tiptiper Large Makeup Vanity with Lights, Vanity Table with Charging Station Vanity Desk with Mirror and 10 LED Light Bulbs, Makeup Table with with 5 Drawers, Nightstand and Storage Shelves, White","B0BFHTCLQ9","https://www.amazon.com/dp/B0BFHTCLQ9?psc=1","https://m.media-amazon.com/images/I/71NmWMd8eyL._AC_SX425_.jpg","Tiptiper",255.99,469,"120,059.31","46,539","CN",93.29,1,3.9,56,8,8,"outdoorly","Home & Kitchen","Medium Oversize","MFN","22.0x34.6x9.8",92.60,"9/16/2022"
"($) Furnideco 37"" W Makeup Vanity with Lights,WithVanity Desk with Chair, 5 Drawers Makeup Table with Lighted Mirror, 3 Lighting Colors,for Women Girls, Black","B0C1BPKGDP","https://www.amazon.com/dp/B0C1BPKGDP?psc=1","https://m.media-amazon.com/images/I/9164G9tLrqL._AC_SX569_.jpg","Furnideco",199.99,413,"82,595.87","72,347","CN","n/a",1,4.4,71,7,25,"Furnideco Direct","Home & Kitchen","n/a","MFN","n/a","n/a","1/11/2023"
"($) usikey Large Vanity Table Set with Lighted Mirror & Charging Station, Makeup Vanity Dressing Table with 4 Storage Shelves and 4 Drawers, Vanity Desk with 3-Drawer Chest and Cushioned Stool, White","B0B7BTSJS8","https://www.amazon.com/dp/B0B7BTSJS8?psc=1","https://m.media-amazon.com/images/I/61LNBluTjuL._AC_SX679_.jpg","usikey",199.99,206,"41,197.94","101,841","CN",89.79,1,4.5,56,9,7,"usikey","Home & Kitchen","Medium Oversize","MFN","28.3x35.0x10.6",97.40,"10/7/2022"
"($) IRONCK Vanity Desk Set with LED Lighted Mirror & Power Outlet, Makeup Vanity Table with 4 Drawers,Storage Stool,for Bedroom, Bathroom, White","B0B9768WX1","https://www.amazon.com/dp/B0B9768WX1?psc=1","https://m.media-amazon.com/images/I/71c5daexhtL._AC_SX522_.jpg","IRONCK",169.99,"1,165","198,038.35","33,530","CN","n/a",1,4.4,479,9,74,"IRONCK Direct","Home & Kitchen","n/a","MFN","n/a","n/a","8/10/2022"
"($) Tojump Modern Dressing Table Vanity Table with Lighted Mirror, Makeup Vanity Set with Drawers and Stool, White Finish (H05)","B0BRSDRS7D","https://www.amazon.com/dp/B0BRSDRS7D?psc=1","https://m.media-amazon.com/images/I/61TyT1+qXKL._AC_SX425_.jpg","Tojump",185.99,3,557.97,"1,492,294","CN",66.34,1,1.8,31,7,1,"jumptoo","Home & Kitchen","Small Oversize","FBA","21.0x7.0x34.0",67.01,"1/6/2023"
"Makeup Vanity Desk with Lights, 3 Lighting Colors, White Vanity Set Makeup Table with 3 Drawers, 2 Cabinets and Multiple Shelves, Large Vanity 45.2in(L)","B0BMZZSYCF","https://www.amazon.com/dp/B0BMZZSYCF?psc=1","https://m.media-amazon.com/images/I/91qja2I7jYL._AC_SX466_.jpg","Vabches",219.89,745,"163,818.05","39,035","CN","n/a",1,4.5,89,9,14,"Betemint","Home & Kitchen","n/a","MFN","n/a","n/a","11/21/2022"
"Makeup Vanity with Lights, 37inch Vanity Desk with Power Strip, 4 Drawers Makeup Table with Lighted Mirror, 3 Lighting Colors, White","B0B87HGLCF","https://www.amazon.com/dp/B0B87HGLCF?psc=1","https://m.media-amazon.com/images/I/71FUfqqTSKL._AC_SX425_.jpg","Vabches",199.50,564,"112,518.00","40,748","CN","n/a",1,4.4,180,8,34,"Betemint","Home & Kitchen","n/a","MFN","n/a","n/a","8/1/2022"
"Furniouse 37"" W Vanity Desk, Vanity Mirror with Lights and Table Set with 5 Drawers, Vanity Set 3 Lighting Modes Brightness Adjustable for Bedroom Studio","B09Y8RHGQ9","https://www.amazon.com/dp/B09Y8RHGQ9?psc=1","https://m.media-amazon.com/images/I/91-CSUSNshL._AC_SX679_.jpg","Furniouse",199.98,"1,188","237,576.24","33,834","CN",88.53,1,4.3,173,7,13,"Furniouse Direct","Home & Kitchen","Medium Oversize","MFN","27.0x7.5x41.0",95.02,"4/19/2022"
