"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"HOOBRO Round Side Table, Round Accent End Table with Sturdy X-Shaped Metal Frame, 15.7"" Round Nightstand, for Living Room, Bedroom, Balcony, Office Rustic Brown BF95BZ01","B09X39XJQJ","https://www.amazon.com/dp/B09X39XJQJ?psc=1","https://m.media-amazon.com/images/I/61Yb+NUvviL._AC_SY450_.jpg","HOOBRO",33.99,460,"15,635.40","40,545","CN",17.77,4,4.6,107,9,43,"Hoobro","Home & Kitchen","Small Oversize","FBA","17.4x2.1x17.9",7.20,"8/2/2022"
"($) UYIHOME Farmhouse Square End Table, Accent Side Table with Slats Design, Sofa Side Nightstand Table with Sturdy Frame for Living Room Bedroom, Oak Grey","B0BLSGT6P5","https://www.amazon.com/dp/B0BLSGT6P5?psc=1","https://m.media-amazon.com/images/I/81MazGsmEOL._AC_SX679_.jpg","UYIHOME",69.99,26,"1,819.74","566,983","CN",26.95,1,4.7,10,7,1,"UYIHOME","Home & Kitchen","Small Oversize","FBA","18.8x4.5x26.5",14.50,"11/8/2022"
"($) Tribesigns End Table, Sofa Side Table with Storage No Assembly Required, Slim Nightstand with 2 Drawers, Vintage Wood Chairside Bedside Narrow Accent Tables for Living Room Bedroom Couch Office, Brown","B0B3GR437J","https://www.amazon.com/dp/B0B3GR437J?psc=1","https://m.media-amazon.com/images/I/91+olHj7EML._AC_SY450_.jpg","Tribesigns",239.99,55,"13,199.45","283,748","CN",83.44,1,4.9,19,9,0,"jiancai","Home & Kitchen","Medium Oversize","MFN","13.7x26.8x26.8",37.50,"6/8/2022"
"($) KATDANS Nesting Table Set of 3, Stacking End Table-Small Coffee Table Set of 3, Modern Living Room Accent Table Set of 3, Weathered Oak Tabletop-Bronze Base, KS663O","B08S34FXF4","https://www.amazon.com/dp/B08S34FXF4?psc=1","https://m.media-amazon.com/images/I/71Az0P8+00S._AC_SX466_.jpg","KATDANS",139.99,43,"6,019.57","370,250","CN",45.80,3,4.2,50,6,2,"Greatune","Home & Kitchen","Small Oversize","FBA","18.0x9.5x24.0",36.76,"1/5/2021"
"($) MAISON ARTS End Tables Living Room Set of 2 Farmhouse Side Tables 3-Tiers Rustic Nightstands with Storage for Bedroom, Modern Wood Look Mid Century Accent Furniture, Easy Assembly, Ivory","B09H2W5641","https://www.amazon.com/dp/B09H2W5641?psc=1","https://m.media-amazon.com/images/I/6176kPh8nCL._AC_SX450_.jpg","MAISON ARTS",119.99,147,"17,638.53","161,535","US",44.11,1,4.5,164,9,7,"Homeworld Store","Home & Kitchen","Small Oversize","MFN","18.5x7.0x30.0",39.51,"9/24/2021"
"ChooChoo Console Table with Drawers, Narrow Wood Accent Sofa Table Entryway Table with Storage Shelf for Entryway, Front Hall, Hallway, Living Room, Black","B09SPQDQ1X","https://www.amazon.com/dp/B09SPQDQ1X?psc=1","https://m.media-amazon.com/images/I/81SWssP+fOL._AC_SX425_.jpg","ChooChoo",99.99,733,"73,292.67","51,383","CN",41.53,3,4.4,"1,923",6,34,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","14.5x7.5x43.5",40.91,"2/17/2022"
"Decor Therapy Simplify Wood Accent Storage Shelf End Table, 24 x 19.5 x 15.75, Blue Gray","B00JSRCOQE","https://www.amazon.com/dp/B00JSRCOQE?psc=1","https://m.media-amazon.com/images/I/71TX-BHilzL._AC_SY450_.jpg","Decor Therapy",61.42,455,"27,946.10","83,080","AMZ",29.44,3,4.7,"2,898",9,6,"Amazon","Home & Kitchen","Small Oversize","FBA","19.8x7.7x23.2",16.53,"4/19/2014"
"ALLOSWELL Small Side Table, End Table with Storage Shelf, 14.6 x 10.6 x 19.9 Inches, Nightstand X-Shaped Design, Bedside Table, Steel Frame, Living Room, Bedroom, Easy Assembly, Rustic Brown ETHR2801","B09G2L33ZX","https://www.amazon.com/dp/B09G2L33ZX?psc=1","https://m.media-amazon.com/images/I/717EXLXHa4L._AC_SX425_.jpg","ALLOSWELL",19.99,486,"9,715.14","24,952","CN",11.93,7,4.3,471,9,27,"ALLOSWELL","Home & Kitchen","Large Standard-Size","FBA","13.2x3.4x17.3",8.38,"1/6/2022"
"Apicizon Round Side Table, White Nightstand Coffee End Table for Living Room, Bedroom, Small Spaces, Easy Assembly Modern Home Decor Bedside Table with Natural Wood Legs, 16.5 x 20.5 Inches","B08LYPSDNY","https://www.amazon.com/dp/B08LYPSDNY?psc=1","https://m.media-amazon.com/images/I/61+87WmxrzS._AC_SY450_.jpg","Apicizon",36.99,"2,071","76,606.29","13,040","CN",17.80,1,4.5,"1,923",9,42,"APICIZON","Home & Kitchen","Small Oversize","FBA","18.0x2.8x18.0",4.70,"2/2/2021"
"($) COSIEST Outdoor Faux Wood Tree-Slice Side Table, Natural Oak Hand Painted Finish 19x20inch, 3 Black Metal Legs Plant Stand","B09J1CJ4MS","https://www.amazon.com/dp/B09J1CJ4MS?psc=1","https://m.media-amazon.com/images/I/61TO6XCcm6L._AC_SX679_.jpg","COSIEST",99.99,10,999.90,"319,759","CN","n/a",1,3.8,18,6,0,"COSIEST","Patio, Lawn & Garden","n/a","MFN","n/a","n/a","10/1/2021"
"($) CADANI Round Side Table, Black Modern End Table, Metal Accent Table for Small Spaces, Living Room, Bedroom, Balcony, Easy Assembly, 15.8x18.9inches","B0B1H7VNR2","https://www.amazon.com/dp/B0B1H7VNR2?psc=1","https://m.media-amazon.com/images/I/71aAYU1G47L._AC_SY450_.jpg","CADANI",33.97,"1,147","38,963.59","23,855","CN",14.55,1,4.6,254,7,46,"MiaoHui Crafts","Home & Kitchen","Small Oversize","FBA","16.7x2.8x17.0",5.35,"5/17/2022"
"($) White Storage Cabinet with Baskets, Wicker Storage Cabinet with 2 Drawers and 4 Wicker Baskets, Farmhouse Wicker Basket Storage Tower for Kitchen Entryway, Wicker Dresser, Accent Table (White)","B0BK7XY7G5","https://www.amazon.com/dp/B0BK7XY7G5?psc=1","https://m.media-amazon.com/images/I/71x1T3HVuoL._AC_SX466_.jpg","Babion",149.99,83,"12,449.17","310,242","CN","n/a",1,4.2,19,9,2,"BABION HOME","Home & Kitchen","n/a","MFN","n/a","n/a","10/24/2022"
"CubiCubi Round End Table, Side Table with Wooden Shelves, 2-Tier Rustic Vintage Table for Living Room Bedroom, Metal Frames and Wooden Boards, Rustic Brown","B08ZS5J8TC","https://www.amazon.com/dp/B08ZS5J8TC?psc=1","https://m.media-amazon.com/images/I/61zebNttwcS._AC_SY450_.jpg","CubiCubi",39.99,463,"18,515.37","78,056","CN",19.09,6,4.6,619,6,25,"Tespo Store","Home & Kitchen","Small Oversize","FBA","17.9x2.6x26.0",7.70,"3/23/2021"
"Furinno Turn-N-Tube End Table, Dark Cherry/Black , 1-Pack","B00DMBU61C","https://www.amazon.com/dp/B00DMBU61C?psc=1","https://m.media-amazon.com/images/I/41ALyViOmNL._AC_SY450_.jpg","Furinno",20.99,"45,338","951,644.62",417,"AMZ",16.39,9,4.5,"86,910",4,"1,116","Amazon","Home & Kitchen","Small Oversize","AMZ","14.5x3.3x19.8",6.95,"6/13/2013"
