"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"HOMERECOMMEND Console Sofa Tables End Table Computer Desk Coffee Snack Console Tables for Living Room Or Corridor Hallway Rustic Brown Color Wood","B088MDXBQR","https://www.amazon.com/dp/B088MDXBQR?psc=1","https://m.media-amazon.com/images/I/71s-09mtZDL._AC_SY450_.jpg","HOMERECOMMEND",51.99,397,"20,640.03","86,399","CN",24.40,4,4.4,"3,430",6,16,"HOMERECOMMEND Manufacturer Direct","Home & Kitchen","Small Oversize","FBA","13.1x3.0x42.8",14.80,"5/14/2020"
"ChooChoo Narrow Console Table, Chic Accent Sofa Table, Entryway Table, White","B07SYY7FVN","https://www.amazon.com/dp/B07SYY7FVN?psc=1","https://m.media-amazon.com/images/I/71zjPQttTML._AC_SY450_.jpg","ChooChoo",79.99,"1,017","81,349.83","33,628","CN",32.65,3,4.5,"3,046",5,44,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","15.6x5.0x44.0",26.40,"9/10/2019"
"ELYKEN 5.9"" Narrow Console Sofa Table with Power Outlets, 5.9"" Dx63 Wx31.5 H Long Skinny Behind Couch Table with “X” Cross Metal Frame and Charge Station with 6.5’ Extension Cord, Black","B0BX8LCFC6","https://www.amazon.com/dp/B0BX8LCFC6?psc=1","https://m.media-amazon.com/images/I/615WefnL5qL._AC_SX466_.jpg","ELYKEN",63.99,300,"19,197.00","62,507","CN",26.89,1,4.5,67,7,9,"Elyken","Home & Kitchen","Small Oversize","FBA","8.0x5.0x35.6",18.40,"11/23/2022"
"Yoobure Sofa Table 70.9 Inch Narrow Console Table with 2 Outlet and 2 USB Ports Extra Long Entryway Table with X-Shaped Design Entry Behind Couch Table for Hallway Living Room Foyer","B0BTSJJYTZ","https://www.amazon.com/dp/B0BTSJJYTZ?psc=1","https://m.media-amazon.com/images/I/61YSnZ90-HL._AC_SY450_.jpg","Yoobure",69.99,195,"13,648.05","130,921","CN",22.48,1,4.4,57,7,34,"Fancee Home","Home & Kitchen","Small Oversize","FBA","14.2x6.2x38.4",28.40,"4/3/2023"
"($) OKD Console Table w/Sliding Barn Doors, Farmhouse 46 Inch Entryway Table w/Adjustable Shelf, Rustic Sofa Table w/2 Storage Cabinets for Entry Way, Hallway, Living Room, Light Rustic Oak","B098FBLPXK","https://www.amazon.com/dp/B098FBLPXK?psc=1","https://m.media-amazon.com/images/I/81C5uHqkAsL._AC_SX466_.jpg","OKD",193.99,99,"19,205.01","237,642","CN","n/a",1,4.5,21,7,1,"OKD-us","Home & Kitchen","n/a","MFN","n/a","n/a","7/1/2021"
"($) Lifewit 39.4” Console Entryway Table with 2 Power Outlets and 2 USB Ports,Industrial Narrow Sofa Table for Hallway, Living Room,Bedroom,Kitchen, Metal Frame, Rustic Brown, Easy Assembly","B0BG4BG9VW","https://www.amazon.com/dp/B0BG4BG9VW?psc=1","https://m.media-amazon.com/images/I/61KfSFlCghL._AC_SX466_.jpg","Lifewit",62.99,105,"6,613.95","312,074","US",25.48,1,4.8,73,9,8,"Lifewit Home","Home & Kitchen","Small Oversize","FBA","14.1x3.3x41.5",15.80,"12/8/2022"
"($) Giantex Console Table Easy Assembly Entryway Table W/Storage Drawer and Bottom Shelf, Mufti-Functional Home Furniture for Hallway, Living Room, Bedroom, Office 47 Inch Accent Hall Table (Gray Wash)","B08C58V7JZ","https://www.amazon.com/dp/B08C58V7JZ?psc=1","https://m.media-amazon.com/images/I/61YD0ui55lL._AC_SX466_.jpg","Giantex",129.99,83,"10,789.17","327,850","US","n/a",1,4.5,818,9,10,"Giantex","Home & Kitchen","n/a","MFN","n/a","n/a","6/29/2020"
"($) Tribesigns Long Console Table, 70.89 inches Sofa Table, 3 Tier Entryway Table, Industrial Hallway Table, Large Storage Accent Table for Living Room Garage, Rustic Behind Couch Table","B09TVJCF2X","https://www.amazon.com/dp/B09TVJCF2X?psc=1","https://m.media-amazon.com/images/I/81LDisN0IuL._AC_SX466_.jpg","Tribesigns",169.99,145,"24,648.55","144,291","CN","n/a",1,4.4,49,7,3,"HOME HQ","Home & Kitchen","Medium Oversize","MFN","13.8x75.6x5.5",73.00,"3/4/2022"
"Sauder North Avenue Sofa Table, Charter Oak finish, L: 41.50"" x W: 11.50"" x H: 28.03""","B01GS8J9V8","https://www.amazon.com/dp/B01GS8J9V8?psc=1","https://m.media-amazon.com/images/I/61fIBFUax1L._AC_SX466_.jpg","Sauder",57.99,324,"18,788.76","93,350","AMZ",24.73,7,4.7,"7,159",8,17,"Amazon","Home & Kitchen","Small Oversize","AMZ","13.9x3.6x44.6",15.25,"n/a"
"Winsome Wood Rochester Occasional Table, Antique Walnut","B0046EC1CG","https://www.amazon.com/dp/B0046EC1CG?psc=1","https://m.media-amazon.com/images/I/61pJS0GAKaL._AC_SX679_.jpg","Winsome",88.93,133,"11,827.69","212,073","AMZ",39.86,29,4.7,"3,105",8,2,"Amazon","Home & Kitchen","Small Oversize","FBA","19.8x6.0x47.5",34.51,"4/15/2004"
