"Product Details","ASIN","URL","Image URL","Brand","Price $","Sales","Revenue","BSR","Seller Country/Region","Fees $","Active Sellers #","Ratings","Review Count","Images","Review velocity","Buy Box","Category","Size Tier","Fulfillment","Dimensions","Weight","Creation Date"
"Ameriwood Home Carver Coffee Table, Gray","B01N0D7VC8","https://www.amazon.com/dp/B01N0D7VC8?psc=1","https://m.media-amazon.com/images/I/71lXEubxAbL._AC_SX466_.jpg","Ameriwood Home",87.66,"n/a","n/a","3,332","AMZ",50.18,4,4.5,"3,310",15,0,"Amazon","Our Brands","Small Oversize","AMZ","14.0x8.5x40.3",65.76,"11/14/2016"
"($) Xmatch Tempered Glass Coffee Table for Living Room Furniture with 2 Tiers Size 39.4in x 23.7in (WXD) Black","B08BRYRVKB","https://www.amazon.com/dp/B08BRYRVKB?psc=1","https://m.media-amazon.com/images/I/61r-OgA5k9L._AC_SY355_.jpg","Xmatch",85.59,24,"2,054.16","658,595","CN",41.78,1,4.6,181,8,0,"Xmatch USA","Home & Kitchen","Small Oversize","MFN","26.0x41.0x5.0",47.20,"6/24/2020"
"($) IBF Natural Wood Coffee Table, Rustic Solid Wood Center Table for Living Room, Rectangle Metal and Real Wood Tea Table, Modern Industrial Minimalist Wooden Cocktail Table, Rustic Brown, 47 Inch","B08XYQPB6N","https://www.amazon.com/dp/B08XYQPB6N?psc=1","https://m.media-amazon.com/images/I/81j3Q-Bnr5L._AC_SY450_.jpg","IBF",159.98,97,"15,518.06","268,978","US",57.25,1,4.1,21,8,1,"IBF Furniture","Home & Kitchen","Small Oversize","FBA","26.5x4.0x51.5",27.21,"3/4/2021"
"($) COZAYH 2-Piece Modern Farmhouse Living Room Coffee Table Set, Nesting Table Round Natural Finish with Handcrafted Wood Radial Pattern","B09ZQK3WXS","https://www.amazon.com/dp/B09ZQK3WXS?psc=1","https://m.media-amazon.com/images/I/81+szv7yDIL._AC_SY355_.jpg","COZAYH",209.99,533,"111,924.67","69,337","US","n/a",1,4.5,598,8,28,"Cozayh","Home & Kitchen","n/a","MFN","n/a","n/a","5/7/2022"
"($) WLIVE Lift Top Coffee Table for Living Room,Coffee Table with Storage,Hidden Compartment and Metal Frame, Central Table with 4 Casters for Reception Room,Rustic Brown.","B0BJ6WJVG2","https://www.amazon.com/dp/B0BJ6WJVG2?psc=1","https://m.media-amazon.com/images/I/81lnK7rT8UL._AC_SX466_.jpg","WLIVE",99.99,163,"16,298.37","114,787","CN",41.95,1,4.1,42,9,5,"WLIVE","Home & Kitchen","Small Oversize","FBA","22.5x4.0x45.0",44.01,"10/14/2022"
"ChooChoo Farmhouse Coffee Table, Rustic Vintage Living Room Table with Shelf, 40 White","B08SHCR143","https://www.amazon.com/dp/B08SHCR143?psc=1","https://m.media-amazon.com/images/I/8189SDyX4jS._AC_SY450_.jpg","ChooChoo",159.99,656,"104,953.44","41,445","CN",53.47,2,4.6,848,8,25,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","25.3x6.0x44.0",40.56,"1/8/2021"
"Depointer Life Glass Coffee Table, Rectangle Modern Side Coffee Table with Lower Shelf, Perfect for Living Room Conversation Leisure Occasions, Metal Leg, Black","B08CH9GN83","https://www.amazon.com/dp/B08CH9GN83?psc=1","https://m.media-amazon.com/images/I/81e9qp45SHL._AC_SX425_.jpg","Depointer Life",79.59,193,"15,360.87","225,643","CN",42.25,2,4.7,"1,392",7,3,"Depointer Direct","Home & Kitchen","Small Oversize","MFN","25.0x5.9x41.5",49.46,"7/7/2020"
"SUPER DEAL 2-Tier Industrial Coffee Table with Storage Shelf for Small Apartment Living Room, Rectangle Wood and Stable Metal TV Stand Side End Table, Rustic Brown","B08N4TDMF4","https://www.amazon.com/dp/B08N4TDMF4?psc=1","https://m.media-amazon.com/images/I/71CuUQLcDhL._AC_SX569_.jpg","SUPER DEAL",48.99,"1,176","57,612.24","30,687","CN",58.47,1,4.6,922,7,47,"SuperDealUsa","Home & Kitchen","Medium Oversize","MFN","16.5x20.0x31.5",25.00,"11/9/2020"
"HOOBRO End Table with Charging Station and USB Ports, 3-Tier Nightstand with Adjustable Shelf, Narrow Side Table for Small Space in Living Room, Bedroom and Balcony, Rustic Brown BF112BZ01","B09X395CNV","https://www.amazon.com/dp/B09X395CNV?psc=1","https://m.media-amazon.com/images/I/71BlC+UiJ8L._AC_SY355_.jpg","HOOBRO",39.99,"2,157","86,258.43","9,518","CN",15.41,4,4.4,365,9,62,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","12.3x4.1x17.1",9.66,"4/2/2022"
"($) JOMEED 3 in 1 Lift Top Coffee Table, Large Coffee Table with Storage for Living Room, Marble Pattern Modern Lift Tabletop Dining Table with Hidden Storage Compartment and Open Storage Shelf","B0BMQJ3W86","https://www.amazon.com/dp/B0BMQJ3W86?psc=1","https://m.media-amazon.com/images/I/81eDagiu59L._AC_SX679_.jpg","JOMEED",194.99,30,"5,849.70","659,875","CN","n/a",1,4.2,14,9,1,"JOMEED","Home & Kitchen","n/a","MFN","n/a","n/a","11/17/2022"
