"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"11","Tribesigns End Table Set of 2, Sofa Side Table with Storage No Assembly Required, Slim Nightstand with 2 Drawers, Vintage Wood Chairside Bedside Narrow Accent Tables for Living Room Bedroom Couch","B0BP7H2VNN","https://www.amazon.com/dp/B0BP7H2VNN?psc=1","https://m.media-amazon.com/images/I/81BLfOvvsbL._AC_SX569_.jpg","Tribesigns",475.99,56,26655.44,283748,"CN",95.89,1,4.9,19,9,0,"jiancai","Home & Kitchen","Small Oversize","MFN","13.8x26.8x26.0","37.47",2022-12-06
"12","Furologee Console Table with 2 Drawers, Industrial Sofa Table, Entryway Table with 3-Tier Storage Shelves, Narrow Accent Table Metal Frame for Living Room/Entryway/Hallway, Rustic Brown","B097DN5MFJ","https://www.amazon.com/dp/B097DN5MFJ?psc=1","https://m.media-amazon.com/images/I/81aJDUjUc3L._AC_SX466_.jpg","Furologee",89.99,845,76041.55,31380,"CN",35.4,5,4.4,935,9,51,"Engriy Store","Home & Kitchen","Small Oversize","FBA","12.7x4.8x41.3","29.06",2021-06-17
"13","Deco 79 Aluminum Drip Accent Table with Melting Designed Legs and Shaded Glass Top, 16"" x 16"" x 24"", Silver","B097QGTZ4J","https://www.amazon.com/dp/B097QGTZ4J?psc=1","https://m.media-amazon.com/images/I/71bIDYB5i5S._AC_SX466_.jpg","Deco 79",190.79,356,67921.24,96815,"AMZ",63.55,11,4.5,382,9,18,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.4x17.3x28.0","16.20",NA
"14","Christopher Knight Home Jerod Light-Weight Concrete Accent Table, Black","B07F6652WW","https://www.amazon.com/dp/B07F6652WW?psc=1","https://m.media-amazon.com/images/I/51VSQWEb0uL._AC_SY450_.jpg","Christopher Knight Home",88.24,343,30266.32,74597,"US",39.92,9,4.4,552,7,6,"Deal Box Center","Home & Kitchen","Small Oversize","MFN","16.1x15.7x20.9","20.55",2018-07-01
"15","ECOMEX Round End Table,Tall Side Table with Drawer and Shelf, 2 Tier Classic Brown Wood Accent Table Sofa Side Table for Bedroom,Office, Small Spaces, Vintage European Style (Black)","B0B426NX6H","https://www.amazon.com/dp/B0B426NX6H?psc=1","https://m.media-amazon.com/images/I/51PlgkSuGWL._AC_SX425_.jpg","ECOMEX",69.99,87,6089.13,529313,"CN",31.99,1,4.4,20,9,4,"LIVABLE HOME","Home & Kitchen","Small Oversize","MFN","23.1x6.3x27.0","16.70",2022-06-14
"16","FirsTime & Co. Miles Rustic Table, 22""H x 16""W x 16""D, Natural, Aged Black","B07JQDN3T8","https://www.amazon.com/dp/B07JQDN3T8?psc=1","https://m.media-amazon.com/images/I/9136eXzArSL._AC_SY450_.jpg","FirsTime & Co.",52.22,96,5013.12,504142,"AMZ",24.24,19,4.2,705,6,1,"Amazon","Home & Kitchen","Small Oversize","FBA","16.8x6.0x23.5","7.90",NA
"17","Yaheetech 3-Tier Console Table for Entryway, 39.5 Inch Entryway Table with Drawer and 2 Storage Shelves, Narrow Wood Accent Table for Entryway/Hallway/Living Room/Foyer, Black","B081KTQF4Q","https://www.amazon.com/dp/B081KTQF4Q?psc=1","https://m.media-amazon.com/images/I/61KgXZLF23L._AC_SY450_.jpg","Yaheetech",79.99,387,30956.13,83214,"US",40.63,1,4.6,2039,9,26,"Yaheetech","Home & Kitchen","Small Oversize","MFN","15.4x5.5x44.9","45.20",2019-11-16
"18","Gold End Tables Set of 2, Faux Marble Side Table for Living Room, Bedroom or Small Spaces, Small Nightstand with Storage Shelf, Easy Assembly, 2-Pack, Modern Style Accent Table","B0C16QBP8V","https://www.amazon.com/dp/B0C16QBP8V?psc=1","https://m.media-amazon.com/images/I/61-mzWT76AL._AC_SX522_.jpg","Possile",49.99,58,2899.42,91300,"CN",18.86,1,4.3,28,9,1,"Possile Store","Home & Kitchen","Large Standard-Size","FBA","13.0x5.4x16.9","13.05",2023-04-01
"19","HOOBRO Round Side Table, Round Accent End Table with Sturdy X-Shaped Metal Frame, 15.7"" Round Nightstand, for Living Room, Bedroom, Balcony, Office Rustic Brown BF95BZ01","B09X39XJQJ","https://www.amazon.com/dp/B09X39XJQJ?psc=1","https://m.media-amazon.com/images/I/61Yb+NUvviL._AC_SY450_.jpg","HOOBRO",33.99,460,15635.4,40545,"CN",17.77,4,4.6,107,9,43,"Hoobro","Home & Kitchen","Small Oversize","FBA","17.4x2.1x17.9","7.20",2022-08-02
"20","ChooChoo Console Table with Drawers, Narrow Wood Accent Sofa Table Entryway Table with Storage Shelf for Entryway, Front Hall, Hallway, Living Room, Black","B09SPQDQ1X","https://www.amazon.com/dp/B09SPQDQ1X?psc=1","https://m.media-amazon.com/images/I/81SWssP+fOL._AC_SX425_.jpg","ChooChoo",99.99,733,73292.67,51383,"CN",41.53,3,4.4,1923,6,34,"ChooChoo Furniture","Home & Kitchen","Small Oversize","FBA","14.5x7.5x43.5","40.91",2022-02-17
"21","Decor Therapy Simplify Wood Accent Storage Shelf End Table, 24 x 19.5 x 15.75, Blue Gray","B00JSRCOQE","https://www.amazon.com/dp/B00JSRCOQE?psc=1","https://m.media-amazon.com/images/I/71TX-BHilzL._AC_SY450_.jpg","Decor Therapy",61.42,455,27946.1,83080,"AMZ",29.44,3,4.7,2898,9,6,"Amazon","Home & Kitchen","Small Oversize","FBA","19.8x7.7x23.2","16.53",2014-04-19
"22","ALLOSWELL Small Side Table, End Table with Storage Shelf, 14.6 x 10.6 x 19.9 Inches, Nightstand X-Shaped Design, Bedside Table, Steel Frame, Living Room, Bedroom, Easy Assembly, Rustic Brown ETHR2801","B09G2L33ZX","https://www.amazon.com/dp/B09G2L33ZX?psc=1","https://m.media-amazon.com/images/I/717EXLXHa4L._AC_SX425_.jpg","ALLOSWELL",19.99,486,9715.14,24952,"CN",11.93,7,4.3,471,9,27,"ALLOSWELL","Home & Kitchen","Large Standard-Size","FBA","13.2x3.4x17.3","8.38",2022-01-06
"23","Apicizon Round Side Table, White Nightstand Coffee End Table for Living Room, Bedroom, Small Spaces, Easy Assembly Modern Home Decor Bedside Table with Natural Wood Legs, 16.5 x 20.5 Inches","B08LYPSDNY","https://www.amazon.com/dp/B08LYPSDNY?psc=1","https://m.media-amazon.com/images/I/61+87WmxrzS._AC_SY450_.jpg","Apicizon",36.99,2071,76606.29,13040,"CN",17.8,1,4.5,1923,9,42,"APICIZON","Home & Kitchen","Small Oversize","FBA","18.0x2.8x18.0","4.70",2021-02-02
