"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"21","APEXCHASER Metal Side Table, 3-Tier Modern Style End Table with Storage Shelf, Side Table for Small Spaces, Fashionable Coffee Table for Living Room, Bedroom,Pink","B0BX9QJTWK","https://www.amazon.com/dp/B0BX9QJTWK?psc=1","https://m.media-amazon.com/images/I/71SVCJ15KuL._AC_SX466_.jpg","APEXCHASER",39.99,363,14516.37,49681,"CN",15.41,1,4.2,23,6,14,"TR Trading Store","Home & Kitchen","Large Standard-Size","FBA","12.6x7.3x17.2","7.94",2023-03-02
"22","T4TREAM Nightstand wtih Charging Station, End Table, Side Table with 2 Drawers Storage Cabinet for Bedroom, Living Room, Farmhouse Design, Wood Rustic, Reclaimed Barnwood","B0B8GSSS5V","https://www.amazon.com/dp/B0B8GSSS5V?psc=1","https://m.media-amazon.com/images/I/81GFP13V1SL._AC_SY450_.jpg","T4TREAM",119.99,5453,654305.47,6219,"CN",NA,1,4.1,865,6,144,"xiuxiumaoyi","Home & Kitchen",NA,"MFN",NA,NA,2022-08-03
"23","LIDYUK End Table with Charging Station, Flip Top Side Table with USB Ports and Outlets, Nightstand for Small Spaces, Bedside Tables with Storage Shelf for Living Room, Bedroom, Dark Cherry","B0C1ZB5XCV","https://www.amazon.com/dp/B0C1ZB5XCV?psc=1","https://m.media-amazon.com/images/I/71bPE4JebFL._AC_SX569_.jpg","LIDYUK",79.99,3050,243969.5,14315,"CN",23.81,1,4.5,1899,7,0,"LIDYUK","Home & Kitchen","Large Standard-Size","FBA","13.4x6.2x17.4","17.44",2023-04-10
"24","Rolanstar End Table, Small Side Table with Charging Station, 2 USB Ports, Storage Shelf and Large Storage, Sturdy Bedside Table for Small Space, Sofa, Living Room (Rustic Brown)","B09XCNGXZZ","https://www.amazon.com/dp/B09XCNGXZZ?psc=1","https://m.media-amazon.com/images/I/71Lgj+o4sOL._AC_SX466_.jpg","Rolanstar",26.99,516,13926.84,61865,"CN",12.82,1,4.4,579,7,47,"RolanstarDirect","Home & Kitchen","Large Standard-Size","FBA","13.3x4.5x17.2","7.52",2022-06-29
"25","ALLOSWELL End Tables Set of 2, Side Tables with Storage Shelf, Slim Nightstands, Steel Frame, for Living Room, Bedroom, Study, Industrial Design, Rustic Brown ETHR5001S2","B09G2H28BN","https://www.amazon.com/dp/B09G2H28BN?psc=1","https://m.media-amazon.com/images/I/71UljDhqYxL._AC_SX425_.jpg","ALLOSWELL",36.99,567,20973.33,36851,"CN",16.88,1,4.3,450,9,12,"ALLOSWELL","Home & Kitchen","Large Standard-Size","FBA","12.8x6.2x16.9","15.76",2022-01-06
"26","Yoobure Nightstand with Charging Station, Side Table End Table with Large Drawer and Storage Shelf, Bed Side Table/Night Stand with USB Ports & Outlets, Rustic Bedside Tables for Bedroom, Living Room","B0BR4625GC","https://www.amazon.com/dp/B0BR4625GC?psc=1","https://m.media-amazon.com/images/I/71kkXGeTXGL._AC_SY450_.jpg","Yoobure",49.99,302,15096.98,49792,"CN",19.14,2,4.8,99,8,42,"Fancee Home","Home & Kitchen","Large Standard-Size","FBA","13.5x5.6x17.6","16.78",2023-03-20
"27","SOOWERY Mid Century Modern Nightstand with Charging Station, Bedside Tables with Glass Decorative Door, End Table Side Table with 2 Tiers Storage Space, for Bedroom, Living Room, White","B0B9258LKY","https://www.amazon.com/dp/B0B9258LKY?psc=1","https://m.media-amazon.com/images/I/61yAhaJLhcL._AC_SX569_.jpg","SOOWERY",69.99,1332,93226.68,21688,"CN",23.78,1,4.6,350,9,54,"SOOWERY Direct","Home & Kitchen","Large Standard-Size","FBA","13.5x7.6x17.4","18.74",2022-08-09
"28","Furinno Simplistic Set of 2 End Table, Espresso/Black","B00OR1KQQ6","https://www.amazon.com/dp/B00OR1KQQ6?psc=1","https://m.media-amazon.com/images/I/41wraSSgVvL._AC_SX425_.jpg","Furinno",22.53,8296,186908.88,1209,"AMZ",18.57,13,4.3,40235,13,675,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.2x4.0x21.0","13.60",2014-10-22
"29","Lerliuo Mid-Centry Modern Nightstand with 2 Stroage Drawers, Farmhouse End Table with Barn Door, Bedside Table, Rustic Wood Sofa Side Table, White Nightstands for Bedroom, Living Room, Dorm","B0BYDL9172","https://www.amazon.com/dp/B0BYDL9172?psc=1","https://m.media-amazon.com/images/I/51F2EKg2uML._AC_SX569_.jpg","Lerliuo",49.99,213,10647.87,110207,"CN",19.14,1,3.8,12,8,9,"Lerliuo Direct","Home & Kitchen","Large Standard-Size","FBA","13.6x5.6x17.4","17.00",2023-04-17
"30","WOODYNLUX End Table Nightstands Set of 2, 3-Tier Bedside Tables, 5-Tier Shelf Bookcase, Nightstand Accent Table for Couch, Living Room, Bedroom, Rustic Brown and Black, Easy Assembly.","B0BMLQPHDB","https://www.amazon.com/dp/B0BMLQPHDB?psc=1","https://m.media-amazon.com/images/I/714CWHXLh1L._AC_SX425_.jpg","WOODYNLUX",49.99,1300,64987,34616,"CN",19.63,1,4.7,233,7,24,"haoding home","Home & Kitchen","Large Standard-Size","FBA","12.8x4.3x17.0","18.40",2022-11-16
