"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"23","DOMYDEVM Nightstand with Charging Station, End Side Table with USB Ports and Outlets, Industrial Bedside Table with 2 Fabric Storage Drawers for Bedroom Living Room Dorm, Brown","B0B8YC1QLH","https://www.amazon.com/dp/B0B8YC1QLH?psc=1","https://m.media-amazon.com/images/I/71FXBW3mjDL._AC_SX425_.jpg","DOMYDEVM",48.99,948,46442.52,42981,"CN",17.71,1,4.4,154,7,29,"DOMYDEVM HOME","Home & Kitchen","Large Standard-Size","FBA","12.7x5.0x16.5","12.21",2022-08-08
"24","Somdot Nightstand, Bedside Table End Table for Bedroom Nursery Living Room - Removable Fabric Drawer, Open Storage Shelf, Sturdy Steel Frame, Durable Wood Top - Black/Rustic Brown","B09NM5X7SX","https://www.amazon.com/dp/B09NM5X7SX?psc=1","https://m.media-amazon.com/images/I/71sB1VtWzwL._AC_SX679_.jpg","Somdot",28.99,1530,44354.7,24551,"US",13.44,22,4.2,971,7,52,"SOMDOT Home and Beyond","Home & Kitchen","Large Standard-Size","FBA","12.4x3.5x16.5","8.73",2022-01-01
"25","Ameriwood Home Franklin Accent Table with 2 Drawers, Gray -","B010S2WLFG","https://www.amazon.com/dp/B010S2WLFG?psc=1","https://m.media-amazon.com/images/I/71ko+FJnaHL._AC_SY355_.jpg","Ameriwood Home",99.34,902,89604.68,20771,"AMZ",39.75,10,4.6,2865,8,29,"Amazon","Home & Kitchen","Small Oversize","FBA","23.5x6.2x31.0","36.96",NA
"26","YBING Nightstand with Charging Station End Table with USB Ports and Power Outlets Bedside Table with 2 Fabric Drawers and Storage Shelves Industrial Small Side Table for Living Room, Bedroom (Brown)","B0BFR1G7D9","https://www.amazon.com/dp/B0BFR1G7D9?psc=1","https://m.media-amazon.com/images/I/81cTs4qDonL._AC_SY450_.jpg","YBING",46.99,307,14425.93,128856,"CN",16.94,1,4,69,7,11,"YBING Direct","Home & Kitchen","Large Standard-Size","FBA","13.0x5.2x16.6","11.34",2022-10-16
"27","WLIVE Nightstand, End Table with Fabric Storage Drawer and Open Wood Shelf, Bedside Furniture with Steel Frame, Side Table for Bedroom, Dorm, Easy Assembly, Black and Rustic Brown","B099WCSZTJ","https://www.amazon.com/dp/B099WCSZTJ?psc=1","https://m.media-amazon.com/images/I/81yu9W9G3HL._AC_SX425_.jpg","WLIVE",29.99,4413,132345.87,9538,"CN",18.43,7,4.4,2922,9,158,"WLIVE","Home & Kitchen","Small Oversize","FBA","16.5x2.5x22.1","11.00",2021-07-20
"28","BOLUO White Nightstand 2 Drawer Dresser for Bedroom,Small Night Stand and Dressers Sets End Table with Fabric Drawers Modern","B0BRPRKPZN","https://www.amazon.com/dp/B0BRPRKPZN?psc=1","https://m.media-amazon.com/images/I/61o5HuO0WqL._AC_SY450_.jpg","BOLUO",39.33,2438,95886.54,12020,"CN",20.67,1,4.1,131,9,59,"LEIFENGZZ","Home & Kitchen","Small Oversize","FBA","16.0x4.6x20.0","12.15",2023-01-05
"29","X-cosrack Wooden Small Nightstand with Storage Drawers Mid Century Modern Bedside Table with Vertical Open Storage Shelf and Solid Wood Legs, End Side Table for Bedroom Natural","B0BLCGQCZT","https://www.amazon.com/dp/B0BLCGQCZT?psc=1","https://m.media-amazon.com/images/I/81QmbK4Wa-L._AC_SX679_.jpg","X-cosrack",39.99,127,5078.73,144447,"CN",17.64,2,3.7,32,7,2,"Merya","Home & Kitchen","Large Standard-Size","FBA","13.1x6.1x17.0","16.92",2022-11-03
"30","SOOWERY Nightstand with Charging Station, Bedside Tables with 3 Tiers Storage Space and Door, End Table with USB Ports and Outlets for Bedroom, Living Room, Black","B0BJ6ZW71K","https://www.amazon.com/dp/B0BJ6ZW71K?psc=1","https://m.media-amazon.com/images/I/71QZ+SqjmZL._AC_SX569_.jpg","SOOWERY",79.99,551,44074.49,45706,"CN",23.97,1,4.7,451,7,33,"SOOWERY Direct","Home & Kitchen","Large Standard-Size","FBA","13.4x6.5x17.3","17.86",2022-10-14
"31","AMHANCIBLE Black Nightstands Set of 2, Small End Tables Living Room with Charging Station, Night Stands with USB Ports & Outlets, Slim Side Table with Drawers for Bedroom HET03SDPBK(Black)","B0B171B9HW","https://www.amazon.com/dp/B0B171B9HW?psc=1","https://m.media-amazon.com/images/I/71Dr0rzNmeL._AC_SY450_.jpg","AMHANCIBLE",89.99,2645,238023.55,11793,"CN",25.31,1,4.2,540,8,78,"Amhancible","Home & Kitchen","Large Standard-Size","FBA","13.4x7.1x16.7","17.39",2022-05-13
"32","Babion Small Nightstand Set of 2, White Nightstands Beside Table, Midcentury Mordern Nightstand with Solid Wood Legs, Wood End Tables Nightstand with Open Storage Shelf, White Side Table","B0C1S1K75V","https://www.amazon.com/dp/B0C1S1K75V?psc=1","https://m.media-amazon.com/images/I/71Dg2HWytvL._AC_SY355_.jpg","Babion",65.99,NA,NA,83791,"CN",29.29,1,5,1,7,0,"DEARYOU","Home & Kitchen","Small Oversize","FBA","13.0x10.0x18.0","24.00",2023-04-07
"33","Furologee Nightstand with 2 Fabric Drawers, Bedside Table, End Table with Open Wood Shelf, Side Sofa Table with 2 Hooks for Bedroom/Living Room/Study/Halway/Rustic Brown","B0BG7GKHK9","https://www.amazon.com/dp/B0BG7GKHK9?psc=1","https://m.media-amazon.com/images/I/71skjvum-0L._AC_SY450_.jpg","Furologee",38.89,1168,45423.52,23490,"CN",15.72,1,4,184,9,70,"Engriy Store","Home & Kitchen","Large Standard-Size","FBA","13.0x4.0x17.0","11.44",2022-09-23
"34","Furinno Dario End Table / Side Table / Night Stand / Bedside Table with Bin Drawer, 1-Pack, Americano/Medium Brown","B07HG5W576","https://www.amazon.com/dp/B07HG5W576?psc=1","https://m.media-amazon.com/images/I/41QPojdK2FL._AC_SY450_.jpg","Furinno",21.4,5726,122536.4,3607,"AMZ",18.39,11,4.1,54120,7,163,"Amazon","Home & Kitchen","Small Oversize","FBA","17.8x3.0x19.8","13.30",2018-09-18
"35","HOOBRO Bedside Table with Pull-Out Collapsible Storage Box, Retro Small Nightstand for Small Space, Living Room, Bedroom, Stable and Sturdy, Rustic Brown and Black BF35BZ01","B08QZ1GMT9","https://www.amazon.com/dp/B08QZ1GMT9?psc=1","https://m.media-amazon.com/images/I/71yKVaS94UL._AC_SY355_.jpg","HOOBRO",24.99,155,3873.45,54901,"CN",13.16,2,4.3,294,9,9,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","13.4x4.2x16.6","9.55",2021-04-16
"36","T4TREAM Nightstand wtih Charging Station, End Table, Side Table with 2 Drawers Storage Cabinet for Bedroom, Living Room, Farmhouse Design, Wood Rustic,Light Rustic Oak","B0B8GW7BCL","https://www.amazon.com/dp/B0B8GW7BCL?psc=1","https://m.media-amazon.com/images/I/8183i-9DsoL._AC_SX425_.jpg","T4TREAM",139.99,5519,772604.81,6219,"CN",NA,1,4.1,865,6,144,"xiuxiumaoyi","Home & Kitchen",NA,"MFN",NA,NA,2022-08-03
"37","Hoctieon Nightstand, End Table with Drawer, Beside Table Furniture, Tall Nightstand Dresser, Open Storage Shelf, Easy Assenbly, for Bedroom, Living Room, Office, Wood, Rustic Brown","B0B6C7477V","https://www.amazon.com/dp/B0B6C7477V?psc=1","https://m.media-amazon.com/images/I/81cmpTq8FIL._AC_SX569_.jpg","Hoctieon",37.09,63,2336.67,102959,"CN",17.53,1,4.1,65,9,2,"Hoctieon","Home & Kitchen","Large Standard-Size","FBA","12.7x5.0x17.2","17.66",2022-07-12
"38","VECELO Night Stands for Bedroom Rustic Nightstand Bedside End Tables with Drawer Storage, (Set of 2), Classic Black","B09CPWPQ87","https://www.amazon.com/dp/B09CPWPQ87?psc=1","https://m.media-amazon.com/images/I/71pmwGC6dhL._AC_SX466_.jpg","VECELO",62.99,1971,124153.29,10989,"AMZ",33.04,12,4.2,1307,8,60,"Amazon","Home & Kitchen","Small Oversize","AMZ","13.7x8.5x25.2","33.36",NA
