"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"77","Signature Design by Ashley Valebeck Farmhouse Rectangular End Table with Storage, Distressed Brown & Black Finish","B07N12BCPT","https://www.amazon.com/dp/B07N12BCPT?psc=1","https://m.media-amazon.com/images/I/81twjQsKNqL._AC_SX466_.jpg","Signature Design by Ashley",190.53,289,55063.17,111928,"AMZ",64.08,4,4.8,972,10,11,"Amazon","Home & Kitchen","Small Oversize","FBA","28.0x10.0x29.5","55.46",NA
"78","FURINNO Oval End Table, One, Walnut","B01FX5CM8O","https://www.amazon.com/dp/B01FX5CM8O?psc=1","https://m.media-amazon.com/images/I/61zo5IM6j9L._AC_SX466_.jpg","Furinno",15.46,238,3679.48,135476,"AMZ",16.25,6,4.2,1869,6,9,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.8x2.5x24.3","10.60",2016-05-19
"79","GIOPACO Small End Table with Charging Station and USB Ports, Small Side Table Nightstand with 2-Layer Storage Shelves for Small Spaces, Living Room, Bedroom, Rustic Brown (1)","B0BVYQ3H54","https://www.amazon.com/dp/B0BVYQ3H54?psc=1","https://m.media-amazon.com/images/I/61oIAfrPHUL._AC_SY450_.jpg","GIOPACO",34.99,495,17320.05,50305,"CN",14.34,1,4.5,29,9,13,"GIOPACO OFFICIAL","Home & Kitchen","Large Standard-Size","FBA","13.6x3.6x17.0","8.77",2023-02-16
"80","AZL1 Life Concept Utility Sofa End Living Room, Vintage Accent Couch Side Pocket, C Shaped Table for Coffee Snack Laptop","B08PM864CR","https://www.amazon.com/dp/B08PM864CR?psc=1","https://m.media-amazon.com/images/I/41lISV7xDwL._AC_SY450_.jpg","AZL1 Life Concept",23.99,NA,NA,40886,"AMZ",20.47,1,4.4,1387,9,8,"Amazon","Home & Kitchen","Small Oversize","AMZ","27.5x3.3x27.6","13.55",NA
"81","COZAYH Rustic Farmhouse end Table with Storage Shelf, French Country Accent Side Table for Family, Dinning or Living Room, Small Spaces, Modern, Round, Vintage Grey Finish.","B09BD7FDSQ","https://www.amazon.com/dp/B09BD7FDSQ?psc=1","https://m.media-amazon.com/images/I/91qWn9YkRlL._AC_SX569_.jpg","COZAYH",69.99,175,12248.25,77009,"US",26.95,1,4.4,409,9,10,"Cozayh","Home & Kitchen","Small Oversize","MFN","3.3x26.8x26.5","15.73",2021-07-28
"82","HOOBRO Tall End Table with Charging Station, Industrial Telephone Table with Metal Storage Basket, Side Table, Nightstand for Living Room, Bedroom, Office, Rustic Brown and Black BF06UDH01","B0BTBWLSS5","https://www.amazon.com/dp/B0BTBWLSS5?psc=1","https://m.media-amazon.com/images/I/712xwua2ZhL._AC_SY450_.jpg","HOOBRO",39.99,NA,NA,212725,"CN",15.89,1,NA,0,9,0,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","12.9x6.7x17.7","11.09",2023-01-29
"83","VASAGLE Side Table with Charging Station, End Table with USB Ports and Outlets, Nightstand for Living Room, Bedroom, Plug-in Series, Rustic Brown and Black ULET371B01","B09VXGLJMB","https://www.amazon.com/dp/B09VXGLJMB?psc=1","https://m.media-amazon.com/images/I/71j5v0u9zdL._AC_SY450_.jpg","VASAGLE",34.99,1270,44437.3,37473,"US",9.41,6,4.4,874,9,81,"Songmics Direct","Home & Kitchen","Large Standard-Size","FBA","13.0x4.4x17.4","9.70",2022-03-18
"84","AWASEN Side Table Round, Small Side Table Modern End Accent Table for Living Room Bedroom Office Small Spaces, 16''D x 19.5''H (Rustic Brown)","B0BXSL9HJV","https://www.amazon.com/dp/B0BXSL9HJV?psc=1","https://m.media-amazon.com/images/I/51JNa7Ogj7L._AC_SX466_.jpg","AWASEN",38.99,1266,49361.34,21397,"CN",18.1,1,4.6,907,6,892,"Awasen Direct","Home & Kitchen","Small Oversize","FBA","17.5x3.0x17.6","5.50",2023-03-08
"85","Aheaplus End Table, Sofa Table Narrow Flip Top with USB Ports &Outlets for Small Spaces, Side Table with Storage Shelves, Nightstand with Metal Frame for Living Room, Black Oak","B09GBBMTCP","https://www.amazon.com/dp/B09GBBMTCP?psc=1","https://m.media-amazon.com/images/I/81rMn3BbtVL._AC_SY355_.jpg","Aheaplus",75.89,1006,76345.34,22961,"CN",31.63,19,4.5,1492,8,56,"Aheaplus","Home & Kitchen","Small Oversize","FBA","14.3x5.6x26.8","20.69",2021-06-29
"86","AMHANCIBLE LED Nightstand with Fast Charging Station, End Tables Living Room with USB C Charger 3-Port & 2-Power Outlet, Bedside Table with Fabric Drawers for Bedroom HET052LBK1","B0B92PBX4V","https://www.amazon.com/dp/B0B92PBX4V?psc=1","https://m.media-amazon.com/images/I/61sst74bS7L._AC_SX425_.jpg","AMHANCIBLE",84.99,1033,87794.67,24487,"CN",29.2,1,4.3,197,8,39,"Amhancible","Home & Kitchen","Small Oversize","FBA","15.9x5.3x25.6","16.85",2022-09-27
"87","SOOWERY Nightstand with Charging Station, Bedside Tables with 3 Tiers Storage Space and Door, End Tables with USB Ports and Outlets for Bedroom, Living Room, Brown","B09ZXX1MV7","https://www.amazon.com/dp/B09ZXX1MV7?psc=1","https://m.media-amazon.com/images/I/71EUTcqdfNL._AC_SY355_.jpg","SOOWERY",79.99,551,44074.49,45706,"CN",23.97,1,4.7,451,7,46,"SOOWERY Direct","Home & Kitchen","Large Standard-Size","FBA","13.4x6.3x17.4","18.01",2022-05-10
"88","FURINNO Modern Simplistic Criss-Crossed End Table, French Oak Grey","B084PLDN58","https://www.amazon.com/dp/B084PLDN58?psc=1","https://m.media-amazon.com/images/I/61ll7bAOKQL._AC_SX679_.jpg","Furinno",17.56,122,2142.32,142972,"AMZ",17.13,9,4.1,3379,8,2272,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.9x2.0x26.1","10.00",2020-02-11
"89","Rerii End Table, Side Table 3 Tier, Simple Bedside Nightstand, 2 Shelf Small Bookshelf Bookcase, Display Rack for Bathroom, Bedroom and Living Room, White","B07D321981","https://www.amazon.com/dp/B07D321981?psc=1","https://m.media-amazon.com/images/I/61YbTDp082L._AC_SY355_.jpg","Rerii",28.99,1187,34411.13,22892,"CN",12.8,8,4.1,4122,8,45,"Rerii","Home & Kitchen","Large Standard-Size","FBA","10.1x5.0x16.5","6.65",2018-05-15
"90","HAYOFAMY Small Side Table Night Stand, 3 Tier Narrow End Table with Display Shelf, Small Bookcase Bookshelf, Simple Bedside Table Storage Rack for Bedroom, Living Room, Office, Bathroom,White","B0BXH4KSGR","https://www.amazon.com/dp/B0BXH4KSGR?psc=1","https://m.media-amazon.com/images/I/61OEDdiqpZL._AC_SY450_.jpg","HAYOFAMY",27.88,189,5269.32,93406,"CN",12.47,1,3.7,8,7,4,"HAYOFAMY","Home & Kitchen","Large Standard-Size","FBA","10.2x3.7x16.8","6.39",2023-03-04
"91","VECELO Modern End Side Tables,Round Metal Foldable Tray,Stable Snack Nightstand for Outdoors,Small Space,Living Room and Balcony, 18.5 in x 18.5 in x 19.7 in, Black","B08CXKT48H","https://www.amazon.com/dp/B08CXKT48H?psc=1","https://m.media-amazon.com/images/I/61FDy2Zv-0L._AC_SX679_.jpg","VECELO",30.76,293,9012.68,84801,NA,16.44,2,4.5,318,10,11,"Secure transaction","Home & Kitchen","Small Oversize","MFN","19.8x2.0x21.0","4.70",2020-07-14
"92","Household Essentials Black Oak Round End Table 2 Tier","B09RTPDWCJ","https://www.amazon.com/dp/B09RTPDWCJ?psc=1","https://m.media-amazon.com/images/I/71SjXyZStLL._AC_SY355_.jpg","Household Essentials",53.54,1634,87484.36,9558,"AMZ",23.64,4,4.5,11944,8,10469,"Amazon","Home & Kitchen","Small Oversize","FBA","22.9x2.3x25.1","14.45",NA
"93","Ball & Cast Side End Table, 15.25"" Dia, Black","B0894N5VLG","https://www.amazon.com/dp/B0894N5VLG?psc=1","https://m.media-amazon.com/images/I/71JNlbs9cHL._AC_SX569_.jpg","Ball & Cast",25.59,173,4427.07,142916,"AMZ",16.93,5,4.4,617,7,3,"Amazon","Home & Kitchen","Small Oversize","AMZ","17.1x3.9x17.4","7.70",2020-10-27
"94","HOOBRO Side Tables, Set of 2 Narrow Nightstands, Industrial End Table with Flat or Slant Adjustable Mesh Shelf for Small Spaces, Stable Metal Frame and Easy Assembly, Rustic Brown and Black BF24BZ01","B07ZCTLNMZ","https://www.amazon.com/dp/B07ZCTLNMZ?psc=1","https://m.media-amazon.com/images/I/71YJJeFcPmL._AC_SX466_.jpg","HOOBRO",49.99,217,10847.83,149066,"CN",24.79,5,4.8,1785,9,15,"Hoobro","Home & Kitchen","Small Oversize","FBA","14.5x5.3x26.1","18.35",NA
"95","FANTERSI Small Round Side Table, 2-Tier Mid Century Modern Side Table, Wood Side Table, Round End Table for Living Room, Metal Frames, Brown","B0BWYTNKMR","https://www.amazon.com/dp/B0BWYTNKMR?psc=1","https://m.media-amazon.com/images/I/71F+T53Ph5L._AC_SX466_.jpg","FANTERSI",79.99,NA,NA,144737,"CN",27.61,1,NA,0,9,0,"FANTERSI","Home & Kitchen","Small Oversize","FBA","17.9x6.0x19.1","9.68",2023-03-04
"96","YITAHOME X-Design Side End Table Set of 2, Industrial End Table for Small Spaces, Farmhouse Nightstand Sofa Bed Table with Storage Shelf for Bedroom Living Room, Easy Assembly, Black","B09HPVFNRL","https://www.amazon.com/dp/B09HPVFNRL?psc=1","https://m.media-amazon.com/images/I/71KnoxIz9wL._AC_SX522_.jpg","YITAHOME",60.65,72,4366.8,377357,"AMZ",30.17,4,4.5,102,7,3,"Amazon","Home & Kitchen","Small Oversize","FBA","14.0x8.2x24.5","27.90",2021-10-03
