"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"37","HOOBRO End Table, Small Side Table, Nightstand with 2-Layer Storage Shelves, Sofa Table for Small Spaces, Living Room, Bedroom, Stable Frame, Easy Assembly, Rustic Brown BF09BZ01","B09MTGKK9R","https://www.amazon.com/dp/B09MTGKK9R?psc=1","https://m.media-amazon.com/images/I/711-JsvqqkL._AC_SX466_.jpg","HOOBRO",23.99,825,19791.75,43366,"CN",12.21,5,4.5,499,8,23,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","11.9x3.1x17.1","7.10",NA
"38","LDTTCUK Side Table with Charging Station, End Table with Power Outlet & USB Ports, Nightstand with 2 Tiers Storage Space and Storage Cabinet, Sofa Side Tables for Bedroom, Living Room,Office,Black","B0BN67TVVP","https://www.amazon.com/dp/B0BN67TVVP?psc=1","https://m.media-amazon.com/images/I/71arUJLqusL._AC_SY450_.jpg","LDTTCUK",79.99,683,54633.17,34320,"CN",23.49,1,4.3,202,7,26,"yiboshangmao123","Home & Kitchen","Large Standard-Size","FBA","13.5x6.7x16.9","16.16",2022-11-23
"39","LEMONDA 3 Legs Round End Table, 2 Tier Round Side Table with Storage Basket,11.8*17.8inches Round Metal Sofa Side Table,Small Round Nightstand,Small Coffee Table for Living Room Bedroom/Rustic Brown","B0BWRT9XP6","https://www.amazon.com/dp/B0BWRT9XP6?psc=1","https://m.media-amazon.com/images/I/61Js8vd9+8L._AC_SX466_.jpg","LEMONDA",29.99,555,16644.45,78169,"CN",12.63,1,4.4,45,9,11,"Lemonda-US","Home & Kitchen","Large Standard-Size","FBA","13.0x2.7x13.1","5.73",2023-02-24
"40","C Shaped Side Table, C Shaped End Table for Sofa Couch and Bed, Portable Laptop Table, Coffee Snack Table, Sofa Side Table, Wood Look Accent Table, Space Saving in Living Room, Black","B0BLSDH26S","https://www.amazon.com/dp/B0BLSDH26S?psc=1","https://m.media-amazon.com/images/I/61akHBRPuxL._AC_SX679_.jpg","Tuenort",29.99,66,1979.34,221169,"CN",12.79,1,4,3,8,-50,"Tuenort Direct","Home & Kitchen","Large Standard-Size","FBA","13.3x4.0x16.6","6.50",2022-11-08
"41","Apicizon Round Side Table, White Tray Nightstand Coffee End Table for Living Room, Bedroom, Small Spaces, Easy Assembly Bedside Table, 15 x 18 Inches","B08PD1LNFV","https://www.amazon.com/dp/B08PD1LNFV?psc=1","https://m.media-amazon.com/images/I/81U6IM+GAnL._AC_SX425_.jpg","Apicizon",33.99,806,27395.94,32741,"CN",16.93,1,4.5,1041,8,21,"APICIZON","Home & Kitchen","Small Oversize","FBA","15.5x3.0x15.5","3.95",2021-02-26
"42","MAHANCRIS End Table, 2-Tier Beside Table with Mesh Shelf, Sofa Side Table with Tempered Glass Top, TV Tray Table for Small Space, Snack Side Table, Nightstand for Bedroom, Living Room, Gold ETJ24B01","B0BQBP6LHT","https://www.amazon.com/dp/B0BQBP6LHT?psc=1","https://m.media-amazon.com/images/I/71FFZIIg0mL._AC_SX569_.jpg","MAHANCRIS",36.99,136,5030.64,92763,"CN",14,1,4.5,9,9,4,"ALLOSWELL","Home & Kitchen","Large Standard-Size","FBA","13.1x3.7x17.2","6.92",2023-03-27
"43","Somdot Nightstand, Bedside Table End Table for Bedroom Nursery Living Room - Removable Fabric Drawer, Open Storage Shelf, Sturdy Steel Frame, Durable Wood Top - Black/Rustic Brown","B09NM5X7SX","https://www.amazon.com/dp/B09NM5X7SX?psc=1","https://m.media-amazon.com/images/I/71sB1VtWzwL._AC_SX679_.jpg","Somdot",28.99,1530,44354.7,24551,"US",13.44,22,4.2,971,7,52,"SOMDOT Home and Beyond","Home & Kitchen","Large Standard-Size","FBA","12.4x3.5x16.5","8.73",2022-01-01
"44","HILINSIE Rattan Nightstand - Accent End Table with Storage Shelf and Drawer, Wooden Bedside Tables with Metal Frame, Modern Side Table for Bedroom, Living Room, Natural Walnut and Yellow","B0BWN6Y3YT","https://www.amazon.com/dp/B0BWN6Y3YT?psc=1","https://m.media-amazon.com/images/I/81pxzOvaHkL._AC_SX466_.jpg","HILINSIE",49.99,NA,NA,231812,"CN",19.95,1,1,1,8,0,"Hilinsie","Home & Kitchen","Large Standard-Size","FBA","13.5x6.2x16.9","18.01",2023-02-23
"45","Rerii End Table, Side Table 3 Tier, Simple Bedside Nightstand, 2 Shelf Small Bookshelf Bookcase, Display Rack for Bathroom, Bedroom and Living Room, White","B07D321981","https://www.amazon.com/dp/B07D321981?psc=1","https://m.media-amazon.com/images/I/61YbTDp082L._AC_SY355_.jpg","Rerii",28.99,1187,34411.13,22892,"CN",12.8,8,4.1,4122,8,45,"Rerii","Home & Kitchen","Large Standard-Size","FBA","10.1x5.0x16.5","6.65",2018-05-15
"46","WLIVE Nightstand, End Table with Fabric Storage Drawer and Open Wood Shelf, Bedside Furniture with Steel Frame, Side Table for Bedroom, Dorm, Easy Assembly, Black and Rustic Brown","B099WCSZTJ","https://www.amazon.com/dp/B099WCSZTJ?psc=1","https://m.media-amazon.com/images/I/81yu9W9G3HL._AC_SX425_.jpg","WLIVE",29.99,4413,132345.87,9538,"CN",18.43,7,4.4,2922,9,158,"WLIVE","Home & Kitchen","Small Oversize","FBA","16.5x2.5x22.1","11.00",2021-07-20
