"","product_details","asin","url","image_url","brand","price","sales","revenue","bsr","seller_country_region","fees","active_sellers_number","ratings","review_count","images","review_velocity","buy_box","category","size_tier","fulfillment","dimensions","weight","creation_date"
"36","ALLOSWELL Console Table, 70.9"" Narrow Long Sofa Table, Entryway Table, Industrial Sofa Table, Side Table, for Hallway, Living Room, Sturdy and Stable, Easy to Assemble, Rustic Brown CTHR18001","B09RF1RTV7","https://www.amazon.com/dp/B09RF1RTV7?psc=1","https://m.media-amazon.com/images/I/61QCgmmNLgL._AC_SY355_.jpg","ALLOSWELL",59.99,511,30654.89,70479,"CN",28.12,1,4.6,751,9,48,"ALLOSWELL","Home & Kitchen","Small Oversize","FBA","10.2x4.5x40.2","20.65",2022-01-28
"37","HOOBRO 29.5 Inches Narrow Console Table, Small Sofa Table, Entryway Table with Shelves, Side Table, Display Table, for Hallway, Bedroom, Foyer, Living Room, Rustic Brown and Black BF22XG01","B09NKWYWYP","https://www.amazon.com/dp/B09NKWYWYP?psc=1","https://m.media-amazon.com/images/I/61lO-UKRnzL._AC_SX466_.jpg","HOOBRO",43.99,361,15880.39,70585,"CN",17.29,3,4.3,117,8,15,"Hoobro","Home & Kitchen","Large Standard-Size","FBA","10.5x5.9x17.4","13.71",2021-12-13
"38","IDEALHOUSE Console Table with Power Outlets & USB Ports, Narrow Sofa Table with Charging Station, 39.3"" Industrial Entryway Table, Behind Couch Table for Living Room, Hallway, Foyer, Bedroom-Grey","B0BL7FDCJ9","https://www.amazon.com/dp/B0BL7FDCJ9?psc=1","https://m.media-amazon.com/images/I/61H7yoLraWL._AC_SX679_.jpg","IDEALHOUSE",49.9,352,17564.8,139513,"AMZ",22.26,6,4.7,91,7,22,"Amazon","Home & Kitchen","Small Oversize","AMZ","11.0x42.0x3.5","13.00",2022-11-02
"39","HOOBRO Console Table, 55.1"" Narrow Entryway Table, Extra Long Sofa Table Behind Couch, 1.2” Thick Board, Skinny Hallway Table, Living Room, Corridor, Vintage Brown and Black BF140XG01G1","B09VB6MG61","https://www.amazon.com/dp/B09VB6MG61?psc=1","https://m.media-amazon.com/images/I/61U9iPcxJJL._AC_SX425_.jpg","HOOBRO",49.99,273,13647.27,92473,"CN",26.89,2,4.5,252,9,19,"Hoobro","Home & Kitchen","Small Oversize","FBA","11.0x6.5x32.6","23.35",2022-06-01
"40","Winsome Nolan Occasional Table, Cappuccino","B007PBJ4G8","https://www.amazon.com/dp/B007PBJ4G8?psc=1","https://m.media-amazon.com/images/I/61oodZLwcIL._AC_SX466_.jpg","Winsome",104.22,102,10630.44,235581,"AMZ",44.68,29,4.7,1373,9,3,"Amazon","Home & Kitchen","Small Oversize","FBA","19.8x7.5x44.0","42.51",2012-03-28
"41","Clip On Tray Sofa Table for Wide Couches. Couch Arm Tray Table, Portable Table, TV Table and Side Tables for Small Spaces. Stable Sofa Arm Table for Eating and Drink Table (Brown)","B0BS1SXM3B","https://www.amazon.com/dp/B0BS1SXM3B?psc=1","https://m.media-amazon.com/images/I/81NmRbO0hJL._AC_SX425_.jpg","Shamrock Home",29.99,749,22462.51,33537,"CA",11.88,1,4.6,1423,5,20,"Shamrock Commerce","Home & Kitchen","Large Standard-Size","FBA","12.0x2.2x14.7","2.92",2023-01-10
"42","Karcog Narrow Console Table with Recessed Power Strip, 47 Inch Sofa Entry Table with 2 AC Outlets & 2 USB Ports, Industrial Farmhouse Style Accent Hallway Table for Living Room, Grey Oak","B09PD7B59J","https://www.amazon.com/dp/B09PD7B59J?psc=1","https://m.media-amazon.com/images/I/71kaogLXEZL._AC_SY450_.jpg","Karcog",79.99,425,33995.75,72689,"CN",30.55,4,4.7,697,9,15,"Karcog","Home & Kitchen","Small Oversize","FBA","11.8x5.0x50.5","20.05",2021-12-29
"43","IDEALHOUSE Console Table with 2 Drawers, Farmhouse Entryway Table with Storage Shelf, Accent Wood Sofa Table for Living Room, Hallway, Foyer-Grey","B0BGY2Q3DZ","https://www.amazon.com/dp/B0BGY2Q3DZ?psc=1","https://m.media-amazon.com/images/I/71TZR9f+QsL._AC_SX425_.jpg","IDEALHOUSE",89.99,213,19167.87,110380,"CN",42.97,1,4.4,72,7,12,"Yartaka shop","Home & Kitchen","Small Oversize","MFN","6.0x45.0x13.0","48.00",2022-09-30
"44","SUCRSIXBRO Console Table with Charging Station, 70.9’’ Narrow Sofa Table, Entryway Table with Outlets and USB Ports,Easy Assembly,Living Room, Bedroom,Rustic Brown","B0BKXTZNRB","https://www.amazon.com/dp/B0BKXTZNRB?psc=1","https://m.media-amazon.com/images/I/8140r+cUI1L._AC_SY450_.jpg","SUCRSIXBRO",59.99,48,2879.52,109531,"CN",25.87,1,4.3,17,9,0,"SUNRISEEE","Home & Kitchen","Small Oversize","FBA","7.9x5.4x39.0","17.90",2022-10-30
"45","AZL1 Life Concept Console Table, Sofa Table for Living Room，Hallway，Entryway, Entrance Hall, Corridor - Wood Look Metal Frame","B08GCLLRKM","https://www.amazon.com/dp/B08GCLLRKM?psc=1","https://m.media-amazon.com/images/I/51a1jv4GC7S._AC_SX679_.jpg","AZL1 Life Concept",37.56,NA,NA,282403,"AMZ",24.33,5,4.5,334,7,1,"Amazon","Home & Kitchen","Small Oversize","AMZ","16.0x3.8x46.3","20.00",2021-04-08
